I, [2023-07-24T19:54:38.266795 #117611]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.5.0)
E, [2023-07-24T19:54:38.267486 #117611] ERROR -- Kitchen: ------Exception-------
E, [2023-07-24T19:54:38.267528 #117611] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2023-07-24T19:54:38.267547 #117611] ERROR -- Kitchen: Message: Kitchen YAML file /home/ubuntu/my-repo/kitchen.yml does not exist.
E, [2023-07-24T19:54:38.267563 #117611] ERROR -- Kitchen: ----------------------
E, [2023-07-24T19:54:38.267577 #117611] ERROR -- Kitchen: ------Backtrace-------
E, [2023-07-24T19:54:38.267591 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2023-07-24T19:54:38.267607 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/config.rb:153:in `data'
E, [2023-07-24T19:54:38.267622 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/config.rb:131:in `suites'
E, [2023-07-24T19:54:38.267637 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/config.rb:183:in `filter_instances'
E, [2023-07-24T19:54:38.268279 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/config.rb:142:in `build_instances'
E, [2023-07-24T19:54:38.268333 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/config.rb:116:in `instances'
E, [2023-07-24T19:54:38.268354 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2023-07-24T19:54:38.268369 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2023-07-24T19:54:38.268384 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/command/action.rb:34:in `block in call'
E, [2023-07-24T19:54:38.268400 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/3.1.0/benchmark.rb:296:in `measure'
E, [2023-07-24T19:54:38.268494 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/command/action.rb:33:in `call'
E, [2023-07-24T19:54:38.268511 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/cli.rb:52:in `perform'
E, [2023-07-24T19:54:38.268522 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2023-07-24T19:54:38.268532 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.1/lib/thor/command.rb:27:in `run'
E, [2023-07-24T19:54:38.268542 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.1/lib/thor/invocation.rb:127:in `invoke_command'
E, [2023-07-24T19:54:38.268551 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.1/lib/thor.rb:392:in `dispatch'
E, [2023-07-24T19:54:38.268561 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.1/lib/thor/base.rb:485:in `start'
E, [2023-07-24T19:54:38.268571 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/bin/kitchen:11:in `block in <top (required)>'
E, [2023-07-24T19:54:38.268580 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2023-07-24T19:54:38.268591 #117611] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.5.0/bin/kitchen:11:in `<top (required)>'
E, [2023-07-24T19:54:38.268600 #117611] ERROR -- Kitchen: /usr/bin/kitchen:410:in `load'
E, [2023-07-24T19:54:38.268644 #117611] ERROR -- Kitchen: /usr/bin/kitchen:410:in `<main>'
E, [2023-07-24T19:54:38.268673 #117611] ERROR -- Kitchen: ----End Backtrace-----
